Energy as a function of Theta for Phi=0 for Two different Basis sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theta (degrees),0,1,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,,
B3LYP-GD3BJ/def2TZV CP Corrected,-2628.829499678830,-2628.829398008840,-2628.829329588440,-2628.829118508310,-2628.828795443590,-2628.828406717030,-2628.827965938030,-2628.827482546920,-2628.826959465850,-2628.826396550400,-2628.825821476880,-2628.825250774510,-2628.824700055540,-2628.824220961820,-2628.823815087020,-2628.823440995010,-2628.823123691840,-2628.822883876080,-2628.822776188630,-2628.822779520700,-2628.822790553090,-2628.822905174600,-2628.82314773905000,-2628.82345941031000,-2628.82381309917000,-2628.82418009413000,-2628.82459551648000,-2628.82506532105000,-2628.82553948004000,-2628.82600529906000,-2628.82645442839000,-2628.82686504572000,-2628.82724163581000,-2628.82758646771000,-2628.82789347596000,-2628.82815353938000,-2628.82832451578000,-2628.82839257853000,-2628.82832451599000,-2628.8281535389300,-2628.8278934757400,-2628.8275864670000,-2628.8272416367200,-2628.8268650456100,-2628.8264544284900,-2628.8260052991800,-2628.8255394801000,-2628.8250653211000,-2628.8245955166600,-2628.8241800941300,-2628.8238130993700,-2628.8234594104900,-2628.8231477395300,-2628.8229051754600,-2628.8227905512700,-2628.8227795197000,-2628.8227761883300,-2628.8228838751300,-2628.8231236926000,-2628.8234409956600,-2628.8238150868100,-2628.8242209609000,-2628.8247000559900,-2628.8252507750100,-2628.8258214764000,-2628.8263965509100,-2628.8269594663300,-2628.8274825472600,-2628.8279659370400,-2628.8284067174900,-2628.8287954437600,-2628.8291185078000,-2628.8293295888700,-2628.8294996788300,,
B3LYP-GD3BJ/def2QZV CP Corrected,-2628.972171881060,,,-2628.9718262431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlF equilibrium bond length (In the fullerene),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.693409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Caculations below done using B3LYP-GD3BJ/def2TZV counterpoise corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy as a Function of Bond Length for different Theta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlF Bond Length (Angstroms),1.393409,1.493409,1.593409,1.693409,1.793409,1.893409,1.943409,1.993409,2.093409,2.193409,2.443409,2.693409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 0 Degrees (Hartree),-2628.754091354750,-2628.801896997770,-2628.823510543400,-2628.829499678830,-2628.825917221380,-2628.816163417570,,-2628.802305356120,-2628.785510664530,-2628.766514607250,-2628.711373318440,-2628.642160024510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 15 Degrees (Hartree),-2628.753646922330,-2628.801376624490,-2628.822904678090,-2628.828795443590,-2628.825090857630,-2628.815225473780,,-2628.801183942630,-2628.784147424960,-2628.764834868100,-2628.708617674760,-2628.639944634100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 30 Degrees (Hartree),-2628.752769823490,-2628.800369380370,-2628.821756691330,-2628.827482546920,-2628.823584525740,-2628.813477364360,,-2628.799120525290,-2628.781662394180,-2628.761771821880,-2628.702814472980,-2628.628581379160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 45 Degrees (Hartree),-2628.751674171130,-2628.799109437470,-2628.820306644430,-2628.825821476880,-2628.821658245740,-2628.811236378840,,-2628.796526022620,-2628.778697731650,-2628.758438629590,-2628.698749174000,-2628.626027294140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 60 Degrees (Hartree),-2628.750613912930,-2628.797901936540,-2628.818929507620,-2628.824220961820,-2628.819817123990,-2628.809135410430,,-2628.794136202040,-2628.775988626030,-2628.755411622460,-2628.695372880610,-2628.623533890110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 75 Degrees (Hartree),-2628.749834334520,-2628.797013545160,-2628.817930533390,-2628.823123691840,-2628.818612671290,-2628.807783575840,,-2628.792602922610,-2628.774245134670,-2628.753404784080,-2628.692335142650,-2628.619437234890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 90 Degrees (Hartree),-2628.749548800800,-2628.796717534000,-2628.817616719090,-2628.822779520700,-2628.818218999760,-2628.807330013110,,-2628.792054735130,-2628.773552978250,-2628.752503603860,-2628.689964705040,-2628.613432409650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 105 Degrees (Hartree),-2628.7496180330500,-2628.7968569162900,-2628.8178533734600,-2628.8231477390500,-2628.8187589318100,,-2628.8010158950300,,,-2628.7542668916800,,-2628.6212121813500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 120 Degrees (Hartree),-2628.7501591589800,-2628.7975481809100,-2628.8187132357300,-2628.8241800941300,-2628.8199890498600,,-2628.8026583381100,,,-2628.7569350241900,,-2628.6278120353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 135 Degrees (Hartree),-2628.7509524450900,-2628.7984941602900,-2628.8198364309200,-2628.8255394800400,-2628.8216085749000,,-2628.8047160895600,,,-2628.7598942059200,,-2628.6308212305400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 150 Degrees (Hartree),-2628.7517885387300,-2628.7994745170800,-2628.8209821633500,-2628.8268650457200,-2628.8231621408800,,-2628.8066911548300,,,-2628.7626347364300,,-2628.6325120813600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 165 Degrees (Hartree),-2628.7524749231800,-2628.8002659859900,-2628.8218832682800,-2628.8278934759600,-2628.8243388095600,,-2628.8081708424100,,,-2628.7650655370500,,-2628.6424028472600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy at Theta = 180 Degrees (Hartree),-2628.7527780206600,-2628.8006249560700,-2628.8223067045500,-2628.8283925785300,-2628.8249369034300,,-2628.8089238368800,,,-2628.7663802077400,,-2628.6442255862700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
